title,location,points,comments,img_link,visitor,say
北京动物园,北京市西直门外大街137号,4.5,(6050条点评),https://dimg04.c-ctrip.com/images/1A0a180000015a3d9EE3E_C_220_140.jpg,特如达vivian,非常值得一玩，我一个人都玩得兴趣盎然，更适合带宝宝去认识小动物，认识一下其他与人类共存于地球的其他生物和动物，很棒，很喜欢
中国科学技术馆,北京市朝阳区北辰东路5号,4.6,(5181条点评),https://dimg04.c-ctrip.com/images/100s0u000000j0c24DFE2_C_220_140.jpg,不加油的大白兔,小朋友挺喜欢的！也佷有教育意义！老师在课堂上很生动！与小朋友的互动性比较强！增加了小朋友的兴趣！下次还会继续参加这类活动！
奥林匹克公园,北京市朝阳区北辰东路15号,0,(暂无点评),https://dimg04.c-ctrip.com/images/100b1f000001gsmfgB4A5_C_220_140.jpg,暂无游客评论,暂无用户评价
北京野生动物园,北京市大兴区榆垡镇永定河畔的万亩林,4.7,(24086条点评),https://dimg04.c-ctrip.com/images/10030c00000063u6rBDAE_C_220_140.jpg,鲤鱼游,这里果真算是最大的野生动物园，如果用腿走是真的要累断腿的节奏，但真的也适合小朋友来玩，让小朋友近距离接触动物是件特别快乐的事情。
鸟巢(国家体育场),北京市朝阳区国家体育场南路1号,4.6,(2865条点评),https://dimg04.c-ctrip.com/images/fd/tg/g2/M06/88/23/Cghzf1WwtEiAJ2cqAAocVn4isuk274_C_220_140.jpg,M13****567,鸟巢的顶端还是值得去感受一下的，父亲喜欢体育，此次深入鸟巢里观看，感觉非常满意，相比在室外观看鸟巢外观，进入内部的体验感更强。
什刹海,北京市西城区东起地安门外大街北侧、南至新街口北大街、西至新街口豁口、北至钟、鼓楼的区域,4.7,(2088条点评),https://dimg04.c-ctrip.com/images/010691200082f4a1h9957_C_220_140.jpg,奔跑在南方的小哥,晚上的夜景非常漂亮，热闹非常的酒吧街，成为了这里一道更加绚丽多彩的风景线，很多明星成名前都曾在这里驻唱，也是比较出名的酒吧街。 这里是北京市历史文化旅游风景区和历史文化保护区，拥有丰富的历史文化遗产，这一带也是原老北京主要的商业活动区。随着游客的增多，这里逐渐出现了一些古文化商店、小吃街和酒吧等，一处具有丰富历史文化内涵的旅游胜地，游客可以在这里欣赏美丽的湖光山色，感受古老北京的历史风貌，也成为了京城文化街之一。
古北水镇,北京市密云区古北口镇司马台村古北水镇,4.7,(13082条点评),https://dimg04.c-ctrip.com/images/0104r120008wxqnbrC251_C_220_140.jpg,hmlmk,古北水镇的景色非常美丽，充满了中国传统文化的氛围。漫步在小镇的街道上，仿佛穿越到了古代，感受到了历史的沉淀。这里的建筑风格独特，古色古香，非常有特色。同时，古北水镇周边的自然风光也非常美丽，山水相依，景色宜人，是一个非常适合度假的地方。服务非常到位，工作人员热情友好，能够及时解答游客的问题。餐饮非常丰富，有各种各样的美食，能够满足不同游客的口这里的景色美丽，服务周到，餐饮丰富，交通便利。推荐
中国人民革命军事博物馆,北京市海淀区复兴路9号,0,(暂无点评),https://dimg04.c-ctrip.com/images/100j0u000000iug4y9D94_C_220_140.png,暂无游客评论,暂无用户评价
明十三陵,北京市昌平区十三陵镇昌赤路,4.5,(4052条点评),https://dimg04.c-ctrip.com/images/100m1f000001gznjj0C53_C_220_140.jpg,匿名用户,十三陵是中国明朝皇帝的陵墓群，位于北京市昌平区，是世界上保存最完整、规模最大的皇家陵寝群之一。这里埋葬了明朝的十三个皇帝，其中长陵是明成祖朱棣和皇后徐氏的合葬陵寝，定陵是明朝万历皇帝朱翊钧的陵墓。十三陵的建筑风格独特，体现了中国古代传统的建筑美学。整个陵墓群布局严谨，中轴线对称，每一座陵墓都按照严格的等级和规制建造。其中，长陵和定陵是最为宏伟的陵墓之一，建筑精美，气势磅礴，给人留下了深刻的印象。除了建筑美学价值外，十三陵还具有重要的历史和文化价值。它是明朝时期的重要文化遗产，见证了明朝时期的政治、经济和文化发展。同时，十三陵也是中国古代丧葬文化和祭祀文化的重要代表之一，对于研究中国古代文化和历史具有重要意义。然而，十三陵也因为自然灾害和人为因素而遭受了不同程度的破坏。为了保护这些珍贵的历史遗产，政府采取了一系列的保护措施，如加强文物保护、修复和监管等。同时，也通过旅游开发等方式推动当地经济的发展。
景山公园,北京市西城区景山前街景山公园,4.7,(3191条点评),https://dimg04.c-ctrip.com/images/10091f000001gsmf0CEC2_C_220_140.jpg,没有名字的美景啊,景山公园位于北京市西城区景山前街，坐落在明清北京城的中轴线上，西临北海，南与故宫神武门隔街相望，是明、清两代的御苑。公园中心的景山为堆土而成，曾是全城的制高点，可以远眺故宫博物院。公园内有绮望楼、五方亭、寿皇殿、永思殿、牡丹园等景点。
