name,img,points
傣味薄荷牛肉(云南味道),https://i2.chuimg.com/4675f22905e34ab6b3a106f3a5838e06_2560w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
茄子鲊（昆明老味道，用传统工序制作，从茄子到鲊的蜕变）,https://i2.chuimg.com/32f84591830a11e6ba8d05a1cd60ecaa.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.6
老奶洋芋(云南土豆泥),https://i2.chuimg.com/50bc3a1ef27c4cbb861e6bfde7b57294_2560w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
超级无敌下饭菜｜云南黑三剁,https://i2.chuimg.com/873222d115dc450b9ae0d02d54c38a40_3024w_2417h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.6
百香果番茄鸡(云南味道),https://i2.chuimg.com/179d5223fd7a49dc91281d94b13a8560_2560w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
巨好吃的云南米线,https://i2.chuimg.com/d0e28de28728421a8f28551adca6f7f3_1280w_1023h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.9
红三剁(云南下饭菜),https://i2.chuimg.com/a05300978b1140428762cfaeec45024e_1921w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
盘子都舔干净的云南红三剁,https://i2.chuimg.com/52425eefe0c54342be18bed97c2c3f5f_1377w_1033h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.9
云南小吃【泡鲁达】,https://i2.chuimg.com/82e8093c9b334eb0b767710ca7cf13ee_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
云南小吃“青蛙背石板”！,https://i2.chuimg.com/63bf975aa90a4f5c86953fe7275dccc6_1280w_1024h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.2
不加一滴水的,https://i2.chuimg.com/6088ce3c634046d9a59007a8f806bd72_1080w_864h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.5
云南人才懂的豌豆焖饭,https://i2.chuimg.com/e8d9e2447ae043b69ab40f750304c49a_3024w_4032h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.0
云南风味【石屏包浆豆腐】,https://i2.chuimg.com/1049def5461a4240a461c8702f171c3d_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
柠檬手撕鸡（云南傣味鬼鸡）,https://i2.chuimg.com/3ab1aca04f704c1c9f9113feb0518610_1864w_1242h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.8
云南包浆豆腐（空气炸锅版）,https://i2.chuimg.com/b4a2ef7031c74e8aad265628293d4300_1080w_1428h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.1
家常云南米线（手残党）,https://i2.chuimg.com/1428ee1d1c644313be64fbc8382300ab_4032w_3009h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.3
云南特色菜——薄荷炸排骨,https://i2.chuimg.com/e4368671c4d445fe8ec350ff1e34e619_1280w_960h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
家庭版云南酸汤猪脚,https://i2.chuimg.com/4456684b8ea943238b23aa401a3f567e_1000w_750h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
