name,img,points
北京爆肚,https://i2.chuimg.com/e442057ee2954bde9f3a34d2280a5560_1280w_1023h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.3
【嗷呜】老北京葱爆羊肉,https://i2.chuimg.com/7b97e5dab0e24c1ba6e6e8357be295b4_1280w_1024h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.1
老北京爆肚,https://i2.chuimg.com/3b20b32fcfb04ce7a0ec97a09bfae790_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
传统北京风味菜京酱肉丝，咸甜适中，酱香浓郁，大厨教你正确做法,https://i2.chuimg.com/fefc8f68b486480ab857f7f5390f400d_1280w_720h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京名吃“焖酥鱼”,https://i2.chuimg.com/399875d0eebb11e6bc9d0242ac110002_1280w_960h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.5
糯米凉糕—老北京传统糕点,https://i2.chuimg.com/1d275325a22c4163a35fa35692dedfca_4032w_2268h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.8
北京炸酱面的炸酱,https://i2.chuimg.com/03fc92658db848f1b5ec52b4b7ca5f52_744w_992h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.6
北京切糕,https://i2.chuimg.com/ec23b6cc91e641f99c40940c4f696eda_3072w_2304h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.3
老北京芝麻烧饼,https://i2.chuimg.com/86720853201b4254be86909700f3a4ec_3024w_2419h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.9
老北京大懒龙,https://i2.chuimg.com/221237467f244dacb2d7dbf84c6e1e2d_3024w_2419h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.8
北京羊肉汆面（经典）,https://i2.chuimg.com/646f60317a144f0985967a0f09b72df9_756w_756h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.7
老北京小吊梨汤,https://i2.chuimg.com/e5d3abdcf66e4504badc0c22797b37a0_1509w_979h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.4
超简单，一个条鸭腿也能烤出北京脆皮烤鸭,https://i2.chuimg.com/f49de42e27794d71bc2aad28b3ffc4df_1080w_720h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.6
北京风味酱肉,https://i2.chuimg.com/22fe38ae4e9c40c789cf2704fe5c1f28_1080w_864h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京麻酱烧饼,https://i2.chuimg.com/77025f37f7fa4200b53d6ba12b8738da_3024w_4032h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.4
🌯老北京鸡肉卷💥灵魂酱汁和脆皮鸡柳的秘籍,https://i2.chuimg.com/28575253c87f40db8c616ec2a36f4ed2_1497w_998h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.1
北京糊塌子,https://i2.chuimg.com/9899487863474e3a9738a3e9064a4564_1280w_1024h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.2
老北京懒龙,https://i2.chuimg.com/e49b208351f4425bb893a7db80d35d0f_3576w_2888h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.6
老北京素炒饼(肉炒饼),https://i2.chuimg.com/211e84a3dd4a40058d798ac04c5b8266_1080w_1073h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.3
黄瓜蛋花汤—北京冬奥,https://i2.chuimg.com/6f8e4f9c15894599b9a089bfeeb84086_1008w_1997h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京冰糖葫芦,https://i2.chuimg.com/66ee381fda0548b6bb1b38fb60222b30_1656w_1242h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.6
老北京驴打滚。香甜软糯不黏牙,https://i2.chuimg.com/23e6e02b023a441ebc59fbd05f8dd4f5_1280w_960h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.4
老北京炸咯吱盒,https://i2.chuimg.com/5b4b608170164571a1b9652301d22c9a_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
教你做北京烤鸭甜面酱,https://i2.chuimg.com/6a6a3c9e9edc45f8ae9c5d4aa5d2ca4e_1242w_1093h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,9.0
【炒疙瘩】面点还能这样炒，北京大娘收益高！,https://i2.chuimg.com/88de07bce8294684959294d56e950225_1980w_1100h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.1
贝勒烤肉（北京烤肉）,https://i2.chuimg.com/f5f98677c2ab428da8e40e08c6ea7a23_2668w_2000h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.7
超好吃的老北京千层肉饼,https://i2.chuimg.com/ca5b963c9c8549859dd5836406fd022c_3000w_2093h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.4
老北京芝麻酱烧饼,https://i2.chuimg.com/f68efe01596f49a19430b9a977eab2a2_3024w_4032h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.6
妈妈的味道：巨好吃的北京麻酱凉拌面，快手又清爽的夏季美味,https://i2.chuimg.com/9b6530f3fc574fb9b5f1df6b243cd6e7_1080w_864h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.3
老佛爷同款下午茶❥老北京奶卷,https://i2.chuimg.com/32df99e436e149dea5f1030828bf63d4_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
【老北京鸡肉卷】附酱汁调料，完美复刻的味道😋,https://i2.chuimg.com/f71a1876d0064f84ba0e3d4b7c092fad_3024w_3024h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.6
补脾胃……转发北京中医药专家,https://i2.chuimg.com/a2267c962f634d9e8e85b66d7176ac89_1242w_2208h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京打卤面的卤,https://i2.chuimg.com/83fc58062ed74a35b8f88e0fc9892cc9_3024w_4032h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.7
红糖麻酱烧饼（天津烧饼，北京火烧）,https://i2.chuimg.com/68466576c52e425bbfd43384087e7c30_756w_1008h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.3
