name,img,points
“广州人家”的椒圈豉油,https://i2.chuimg.com/66aafe5116854c8e96c30c682708fdc2_828w_806h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.4
胜过广州酒家的核桃包,https://i2.chuimg.com/e185d13818f04e1da37097bdb1eb6111_2448w_3264h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.4
广州人的姜醋猪脚蛋😋,https://i2.chuimg.com/51b642c354af4973b303b7226c6db82d_1152w_864h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.7
地道配方㊙️复刻广州酒家的蜜汁叉烧,https://i2.chuimg.com/123ef86ea18449659cd0ae474ca09247_1280w_1254h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,9.2
广州肠粉,https://i2.chuimg.com/d6c9194af1324d2787815364c2fa46e7_3024w_4032h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.1
广州萝卜糕,https://i2.chuimg.com/f65d558b32e444f589fc33d109e91784_1351w_1081h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
家庭版叉烧包（广州开店朋友的配方自己做了更改）,https://i2.chuimg.com/552770ebc5c149f584b30316c7fdbe98_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
广州南番顺美食——炸蕃薯片,https://i2.chuimg.com/f9b9bcdd9ec5429aad503b3b261da4c4_1280w_1032h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
5元复刻广州白云山滑溜溜的桂花山水豆腐花,https://i2.chuimg.com/ce0679c8e4a04f2a88887fbb72c347b4_1921w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
广州肠粉（超简易版，难做的我不做）,https://i2.chuimg.com/6abac350be9e413f91865c09d0604c8f_1656w_1242h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.3
🐷地地道道广式猪脚姜（醋）🐷—广州老西关妈妈传授秘笈❗️女士补身子❗️,https://i2.chuimg.com/7b5535a7579643c19983d5c6cd6cd013_1124w_1124h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.5
三步学会广州酒楼招牌鲍鱼鸡煲,https://i2.chuimg.com/5205151b2f98435082fd6ea1e41e0473_1080w_1620h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.3
和味牛杂煲/广州街头小吃,https://i2.chuimg.com/46e1f6f1bb5d40beb0e5f9d6a84e648e_1280w_960h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
陈皮三杯鸭，广州老公吃了十几年的配方！,https://i2.chuimg.com/1072e0d5c3d04005b0a615b4cbaf1937_1280w_960h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
广州点心-蛋奶光酥饼-儿童零食,https://i2.chuimg.com/482a35ad897a4e3e99abdf12f821bc8e_1500w_1124h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.0
