name,img,points
正宗西安名小吃—甑糕（电饭煲版）,https://i2.chuimg.com/e75ec624a618459bb0429cf3867f5467_1242w_1656h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.6
西安臊子面,https://i2.chuimg.com/4bd93fb1292845e3ad6905b0c5ea7d34_1177w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
西安人教你做地道肉夹馍,https://i2.chuimg.com/c7a227e836184c549aa6f14d2b00b4f1_1536w_2046h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.9
西安特色小吃…孜然炒肉夹馍,https://i2.chuimg.com/8c51b24e89e611e6a9a10242ac110002_911w_1620h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.1
西安回民街的香酥牛肉饼,https://i2.chuimg.com/6e4cae341ac045b78112a643a4630101_1080w_864h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.3
西安-凉皮,https://i2.chuimg.com/4595a9428b3411e6a9a10242ac110002_1620w_911h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.3
【西安小吃系列】2:陕西油泼辣子家庭版,https://i2.chuimg.com/cf06923d8fa64302884f207574b38b21_1124w_1500h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.6
西安羊肉泡馍,https://i2.chuimg.com/03c4cbfc8b4c11e6b87c0242ac110003_3120w_4160h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.5
陕西西安甑糕,https://i2.chuimg.com/01c1d30af95f43cb8af92713acbf3925_640w_853h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.3
花干鸡蛋夹馍(西安早饭),https://i2.chuimg.com/6741c20bc5274957baeccc0271e20321_1080w_1440h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,9.2
拜师学来的西安肉夹馍,https://i2.chuimg.com/a42d4a208aa611e6b87c0242ac110003_1536w_2048h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.8
西安红油米线,https://i2.chuimg.com/161ae8bd9e4a498a8aa90167aff33c7e_1058w_1017h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
【西安小吃系列】3:简约版西红柿旗花面-静的食光,https://i2.chuimg.com/acc37362203d11e7bc9d0242ac110002_2448w_3264h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.6
土豆片夹馍—西安游预热,https://i2.chuimg.com/a6b9babc64514f2b86381169734bd9e1_744w_992h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.4
【正宗】西安酸菜炒米,https://i2.chuimg.com/b81bec44888511e6b87c0242ac110003_640w_480h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.2
西安回坊粉蒸牛肉（回族朋友传授版）,https://i2.chuimg.com/ec3b4b2ae63b4594bef5cb73e53120cd_3024w_4032h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,9.0
西安夜市必备—烤油馍,https://i2.chuimg.com/ea677a1b93bb4a76acc6818f43796e4b_2304w_3072h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.2
西安名小吃—甑糕（零失败高压锅版）,https://i2.chuimg.com/f6e8cbeafe984fa1bbc0c306ad939445_1200w_960h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.9
西安凉皮,https://i2.chuimg.com/0de8b5a6872011e6a9a10242ac110002_360w_288h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.5
【西安小吃系列】,https://i2.chuimg.com/7527c76651a011e7947d0242ac110002_1280w_1024h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.4
西安特色年菜,https://i2.chuimg.com/a7beb836194044cfb2279cce0bb8a279_1000w_755h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.6
西安特色小吃——孜然炒细面,https://i2.chuimg.com/c527c211d6424ea6978c85264e88b393_1080w_1080h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.0
西安菠菜菜馍（老陕菜馍）,https://i2.chuimg.com/11988dd8d8c34b4d929cf910008887aa_1124w_1500h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.6
【西安小吃系列】,https://i2.chuimg.com/aea3cd3dfb91455fab4ee812c90e3d20_3264w_2448h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,9.1
西安小吃~火晶柿子饼,https://i2.chuimg.com/9eecc3a3abe54f97825c713e8df30159_1280w_1707h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.5
西安小吃—柿子饼,https://i2.chuimg.com/0f24af93a42f424e90fb1b4a53e40534_1280w_853h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
【宫廷香酥牛肉饼】——西安回坊小吃在家做,https://i2.chuimg.com/20908a901ced11e7947d0242ac110002_1080w_864h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.0
【西安小吃系列】,https://i2.chuimg.com/e46ebfdfa0a748b9b3bc50683f97dfdb_2448w_3264h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.7
西安腊牛肉,https://i2.chuimg.com/a64ee08f31834adcaba6b305906f9225_1080w_810h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.3
西安特色羊肉泡馍,https://i2.chuimg.com/93c550c75639497a9d5f1a10f0a08a85_1280w_1706h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
神还原西安味道#涮牛肚#,https://i2.chuimg.com/8818078a8aa611e6a9a10242ac110002_2048w_2048h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,6.9
陕西丸子烩菜(西安回民街清真小吃),https://i2.chuimg.com/0ca9c8c288b711e6a9a10242ac110002_640w_460h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.9
西安肉夹馍里的腊汁肉,https://i2.chuimg.com/d87c2c6c1c554260bc9e1c96ca2f36a7_1280w_720h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
西安腊牛肉,https://i2.chuimg.com/e1813c2fec0c4703a155b29ec60be4b5_1280w_1035h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
👍西安的味道自己做！纯手揉的白吉饼🫓，夹馅自由味儿更香！！！🤟,https://i2.chuimg.com/a23d0a8779884eddbda242c1b6026872_2560w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.9
【西安小吃】蜂蜜凉糕凉粽子,https://i2.chuimg.com/7ca8cdb8892911e6a9a10242ac110002_640w_400h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.3
地道的西安肉丸胡辣汤！,https://i2.chuimg.com/6ee6272fe8cb4d10bc89a6eae5b9cb74_960w_1280h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
甄糕,https://i2.chuimg.com/8e8c5f666b8744f2be74ac56c87c9a9c_2844w_2353h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
西安凉皮家常版做法,https://i2.chuimg.com/d1f2a651302c4f18bd68c97ceee6b07c_3022w_2984h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.5
甑糕(镜糕)西安小吃,https://i2.chuimg.com/6a4fe78c749f4a619976b73a2e8a549a_864w_1152h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
家庭自制西安麻辣米线,https://i2.chuimg.com/0ae7d3e54c344e6cb5489f461191b1a2_824w_799h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.2
