flight_company,plane,start_time,end_time,total_time,From,To,food,cost,tp
中国国际航空CA1386,空客A321(中),06:25,09:45,3h20m,白云机场T1,首都机场T3,有早餐,¥700,2.1折经济舱
东方航空MU6302,波音737-900ER(中),07:55,10:55,3h0m,白云机场T1,大兴机场,有早餐,¥800,2.7折经济舱
海南航空HU7802,空客A330-300(大),08:00,11:10,3h10m,白云机场T1,首都机场T2,有早餐,¥920,3.1折经济舱
南方航空CZ3101,波音777-300(大),08:00,11:10,3h10m,白云机场T2,大兴机场,有小食,¥1040,3.4折经济舱
中国国际航空CA1310,波音777-300(大),08:05,11:00,2h55m,白云机场T1,首都机场T3,有早餐,¥1330,4折经济舱
南方航空CZ3099,空客A350-900(大),09:00,11:55,2h55m,白云机场T2,大兴机场,有正餐,¥1380,4.6折经济舱
海南航空HU7804,空客A330-200(大),09:15,12:15,3h0m,白云机场T1,首都机场T2,有午餐,¥1200,4折经济舱
中国国际航空CA1380,空客A350-900(大),09:30,12:25,2h55m,白云机场T1,首都机场T3,有小食,¥1430,4.3折经济舱
中国国际航空CA1330,波音777-300(大),10:30,13:40,3h10m,白云机场T1,首都机场T3,有小食,¥1190,3.6折经济舱
南方航空CZ3177,波音777-300(大),11:00,14:00,3h0m,白云机场T2,大兴机场,有正餐,¥1140,3.8折经济舱
