flight_company,plane,start_time,end_time,total_time,From,To,food,cost,tp
东方航空MU2303,空客A321-200(中),07:00,09:40,2h40m,咸阳机场T3,白云机场T1,有小食,¥448,2.5折经济舱
东方航空MU9893,空客A320(中),07:20,11:05,3h45m,咸阳机场T3,白云机场T1,有小食,¥402,2.2折经济舱
深圳航空ZH9226,空客A320(中),07:30,09:55,2h25m,咸阳机场T2,白云机场T1,有餐食,¥500,2.3折经济舱
南方航空CZ3216,波音737-800(中),09:00,11:40,2h40m,咸阳机场T3,白云机场T2,有小食,¥550,2.8折经济舱
东方航空MU2301,空客A320(中),09:30,12:25,2h55m,咸阳机场T3,白云机场T1,有正餐,¥552,3折经济舱
南方航空CZ3202,空客A320(中),11:00,13:45,2h45m,咸阳机场T3,白云机场T2,有正餐,¥650,3.3折经济舱
深圳航空ZH9222,空客A320(中),12:30,15:20,2h50m,咸阳机场T2,白云机场T1,有餐食,¥650,3折经济舱
南方航空CZ3238,波音787-8(大),13:00,15:45,2h45m,咸阳机场T3,白云机场T2,有正餐,¥750,3.7折经济舱
南方航空CZ3212,波音737-800(中),16:00,19:00,3h0m,咸阳机场T3,白云机场T2,有正餐,¥750,3.7折经济舱
南方航空CZ3208,波音787-9(大),18:00,20:50,2h50m,咸阳机场T3,白云机场T2,有正餐,¥750,3.7折经济舱
