flight_company,plane,start_time,end_time,total_time,From,To,food,cost,tp
海航旗下西部航空PN6253,空客A321(中),06:20,08:30,2h10m,江北机场T2,白云机场T1,有小食,¥350,1.7折经济舱
中国国际航空CA4361,波音737-800(中),07:05,08:45,1h40m,江北机场T3,白云机场T1,有早餐,¥400,2.3折经济舱
南方航空CZ2823,空客A320(中),07:25,09:25,2h0m,江北机场T3,白云机场T2,有小食,¥410,2.1折经济舱
南方航空CZ2805,空客A320(中),08:10,10:15,2h5m,江北机场T3,白云机场T2,有小食,¥540,2.8折经济舱
海南航空HU7342,波音737-800(中),08:20,10:20,2h0m,江北机场T3,白云机场T1,有早餐,¥500,3.1折经济舱
中国国际航空CA4347,波音787-9(大),08:40,10:35,1h55m,江北机场T3,白云机场T1,有小食,¥450,2.5折经济舱
海航旗下首都航空JD5228,空客A321(中),10:35,12:35,2h0m,江北机场T2,白云机场T1,无餐食,¥500,首惠经济舱
南方航空CZ2817,空客A320(中),12:00,13:55,1h55m,江北机场T3,白云机场T2,有正餐,¥640,3.3折经济舱
南方航空CZ3406,波音787-8(大),13:30,15:35,2h5m,江北机场T3,白云机场T2,有正餐,¥640,3.3折经济舱
四川航空3U8747,空客A320(中),13:35,15:30,1h55m,江北机场T2,白云机场T2,干点餐,¥550,2.8折经济舱
