flight_company,plane,start_time,end_time,total_time,From,To,food,cost,tp
九元航空AQ1105,波音737-800(中),06:15,08:50,2h35m,白云机场T1,咸阳机场T3,无餐食,¥499,特惠经济舱
东方航空MU6955,波音737-800(中),06:35,09:05,2h30m,白云机场T1,咸阳机场T3,有小食,¥591,3.2折经济舱
海南航空HU7828,波音737-800(中),07:20,10:10,2h50m,白云机场T1,咸阳机场T2,有早餐,¥600,3.3折经济舱
南方航空CZ3201,空客A320(中),07:20,10:00,2h40m,白云机场T2,咸阳机场T3,有小食,¥730,3.6折经济舱
深圳航空ZH9221,空客A320(中),08:35,11:10,2h35m,白云机场T1,咸阳机场T2,有餐食,¥700,3.2折经济舱
南方航空CZ3237,波音777-300(大),08:55,11:40,2h45m,白云机场T2,咸阳机场T3,有小食,¥900,4.5折经济舱
海南航空HU7227,波音737-800(中),09:55,12:40,2h45m,白云机场T1,咸阳机场T2,有午餐,¥780,4.3折经济舱
东方航空MU2312,空客A321-200(中),11:00,13:30,2h30m,白云机场T1,咸阳机场T3,有正餐,¥837,4.6折经济舱
东方航空MU9894,空客A320(中),12:10,16:35,4h25m,白云机场T1,咸阳机场T3,有小食,¥737,4折经济舱
深圳航空ZH9223,空客A320(中),12:55,15:25,2h30m,白云机场T1,咸阳机场T2,有餐食,¥750,3.4折经济舱
