hotel_name,location,points,visitors,picture,comment
天津武清金泰假日酒店,武清,8.6,12条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/246694740.jpg?k=992646ad0b5db7cc4a1dabe4f103db0b7e66e356d889bdf70438710de563e6f9&o=,暂无介绍
天津蓟县李博家园农家院,蓟州区,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/106873749.jpg?k=9f790c72cf5fd95dbd7391459ebb8ac7d4e62e8d017a5374c9d6419d83c794b5&o=,天津蓟县李博家园农家院位于蓟州区，享有池景，配备健身中心、花园、共用休息室、露台和餐厅。住宿配备的免费WiFi，内部提供私人停车位。 每间房间都享有市景或山景，配有厨房、卫星频道平板电视、PS3游戏机、书桌、洗衣机以及带淋浴设施和免费洗浴用品的私人浴室。住宿还提供洗碗机、烤箱和微波炉以及咖啡机和电热水壶。 客人可以在该地区体验徒步、滑雪和骑行。住宿内部可供客人使用水上公园。...
天津丽思卡尔顿酒店 ,"和平区, 天津",9.3,58条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500384851.jpg?k=8e3dc6167f17c7047bc794f940990a3957c8e5c4a4e8984bd0c8a04f2e7e7075&o=,暂无介绍
天津滨海喜来登酒店,"塘沽, 滨海新区",7.3,15条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/467654462.jpg?k=1dbe6b6d6ca175c51a346acdd74c3266948991286dd09b4fa22e113e86d12da2&o=,暂无介绍
天津陆家嘴万怡酒店,"红桥区, 天津",8.6,76条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500321169.jpg?k=d464d14d74b6379aeee4a68e360dee7313e965e6493a023d182947fd1a85b5e7&o=,暂无介绍
天津梅江中心皇冠假日酒店,"Xiqing, 天津",8.0,23条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/243459489.jpg?k=076f29f17207820773c29885e326e4ce8a7e8a2fbf36047a07e9c1696cca817a&o=,暂无介绍
天津滨海东方智选假日酒店,"塘沽, 滨海新区",7.1,7条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/395959947.jpg?k=cf844506e1f109422bd0cc3d587e2784af79a2bf3c08a838bf9edd9abfcb712b&o=,暂无介绍
格林东方天津武清区万达广场酒店,武清,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/484485963.jpg?k=4e8c85024e6f1fb180fb16238215226d5591883bc94bd1923eddb2d5b65c5122&o=,暂无介绍
天津康莱德酒店,"南开区, 天津",8.6,34条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/483808484.jpg?k=c1d4fdef3c40673d4dbeff11435dc4710f2f803c94af6ec5c7d99dc6bd04f05e&o=,暂无介绍
天津和平智选假日酒店,"和平区, 天津",7.6,82条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/230300800.jpg?k=978525a454f374c60847c084359a921bfa327c7948ce6ca6975df59ec9fd65c7&o=,暂无介绍
天津万丽泰达酒店及会议中心,"塘沽, 滨海新区",7.9,8条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500324108.jpg?k=752aa6bca5310d4250c11568671462ef909ea2e33bcab69f5ffeae99a2c8eefb&o=,暂无介绍
天津滨海高铁站亚朵酒店,"塘沽, 滨海新区",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/503289375.jpg?k=671dc4239cc74a07fdf047548520458a0fb95d04c4b7c85daf1c4a63ad7b3373&o=,天津滨海高铁站亚朵酒店坐落于滨海新区，距离世纪钟有45公里，提供带免费WiFi的市景客房。这家住宿距离天津意式风情区有46公里，距离天津国际经济展览中心有47公里，距离天津梅江会展中心有48公里。酒店拥有家庭间。 房间均配有空调、带有线频道的平板电视、电热水壶、淋浴设施、免费洗浴用品和书桌。这家酒店的所有客房都拥有床上用品和毛巾。 前台工作人员会讲英语和中文，可随时为客人提供帮助。...
天津于家堡洲际酒店及行政公寓,"塘沽, 滨海新区",9.5,15条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/245816068.jpg?k=2321f4eefdb3ba0eef4ff9e5931f44c23a26d46c26dd3238d2619d8782f8ca4e&o=,暂无介绍
天津瑞吉金融街酒店,"和平区, 天津",7.9,45条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500324700.jpg?k=e0bd82c42ea61775c7a6cee4f67c941cc93c751a1fc57efda3ddb455647527c4&o=,暂无介绍
天津武清美居酒店,武清,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/340703241.jpg?k=ebdb44248da937334726d65e5d560a53499becff1243bc1a09a17e4d31d5df6d&o=,天津武清美居酒店位于武清，距离天津广播电视塔有不到38公里，提供健身中心、防过敏客房、免费WiFi以及酒吧。这家住宿距离天津奥林匹克中心体育场有41公里，距离世纪钟有42公里，距离天津意式风情区有42公里。住宿为客人配备客房服务、24小时前台和行李寄存服务。 这家酒店提供商务中心和洗衣设施。...
天津海河假日酒店,"河北区, 天津",7.8,70条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/256863063.jpg?k=8ac7c98eb7b78fa08c73b87c2d2e88f00a74a0e12c5a14a8f9e1a4d5eb4e00b3&o=,暂无介绍
天津君隆威斯汀酒店,"和平区, 天津",8.2,23条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500371720.jpg?k=03946b07c8e6a18b33981840662b59371e85e06c240eb5fdfab277fbdeccaa15&o=,暂无介绍
天津融侨套房假日酒店,"南开区, 天津",8.5,74条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/476237611.jpg?k=d5c68ffa217a271a334f92d819498d8bac29270226b9f5aea875e3174bf30a17&o=,暂无介绍
天津华苑希尔顿花园酒店,"Xiqing, 天津",8.4,10条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/482597842.jpg?k=8ff26ac690543c71a51756a4aeafbed014ba34142881d864bb5affb65fb34e69&o=,暂无介绍
万丽天津宾馆,"河西区, 天津",8.8,29条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500316945.jpg?k=e9e2fdc53d5b4a6d1c9ad81f1e1cfb1509fc334e2c3aa9c6914a47803def302a&o=,暂无介绍
