hotel_name,location,points,visitors,picture,comment
宝鸡东岭皇冠假日酒店,宝鸡,9.1,14条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/247131996.jpg?k=88154f58d5d10e517fbc60ac8d6326946d857a812b5da1457ee283496aba74d5&o=,宝鸡东岭皇冠假日酒店位于新兴的金融商业区，毗邻银泰购物中心，距中国青铜器博物馆、中国石鼓公园和陈仓老街等著名景点仅一箭之遥。酒店拥有1个温水游泳池和健身中心，并享有城市景观。 酒店设有宽敞的豪华宴会厅和8间多功能室，可举办各种活动和会议。 三间餐厅提供正宗的当地美食、精美的陕西和四川美食、粤菜、火锅和国际美食。空中酒吧位于40楼，是商务会议和与朋友度过快乐时光的绝佳选择。
华山诺富特酒店,华阴,9.0,1条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/237196913.jpg?k=28c70ed8b76cd9d313ebe3d899eed169124ecad3e8833f6ead4baff60b0de793&o=,华山诺富特酒店坐落于华阴，配有健身中心和餐厅，享有市景，距离华阴市城市规划建设展示馆有1.8公里。这家住宿距离西岳庙有2.3公里，距离华山北站有3公里，距离华阴华山汽车站有5.4公里。住宿为客人配备客房服务、24小时前台和旅游行程安排服务。 这家酒店的客房配有书桌。所有客房都拥有空调和电视。华山诺富特酒店的部分房间享有山景。房间均配有保险箱。 最近的机场是运城张孝机场，距离这家住宿有134公里。
HE DESIGNER HOTEL Xi'an Drum Tower & YONGNING Gate Branch,"碑林区, 西安",8.6,68条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/440861258.jpg?k=a32d3c9bed87a2a4c6f3d3c1cb897d90ed5ab955a94ae829ecf38c0199690c8a&o=,暂无介绍
宝鸡世纪荟萃智选假日酒店,宝鸡,8.9,7条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/230110221.jpg?k=6c1557146c0bdd0aae9faca4adf5cecab9d71975a4b0d30ca37ce1c136c37994&o=,宝鸡世纪荟萃智选假日酒店位于宝鸡市中心，提供覆盖各处的免费WiFi、内部餐厅和公共停车场。 这家酒店的每间客房均配有空调和平板电视。部分客房设有休息区，供客人在忙碌的一天后放松身心。客房配有水壶，提供浴袍、拖鞋和免费洗浴用品等其他设施。 酒店设有24小时前台。 酒店还提供汽车租赁服务。
华山国际青年旅舍,"华山, 华阴",7.7,11条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/475891104.jpg?k=bd7ce6b802b5db57cb6cff9dae71d441e2e8ace18333fb557e353007af87b22c&o=,华山国际青年旅舍位于华山脚下，距离华山风景区仅有50米，拥有现代简约的时尚和典雅中式客房，设有一个享有充足自然光线的优美庭院和一个安静的阳光露台，客人可以在那里享用一杯咖啡。旅舍各处均提供免费WiFi。 华山国际青年旅舍距离华山火车站有15分钟出租车车程，距离华山北站有25分钟出租车车程，并提供从华山北站到旅舍的接站服务。...
西安汉唐驿 - 唐风美学民宿,"新城区, 西安",9.6,111条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/404139825.jpg?k=5224e40af37a324513ce855ac8f3206a005b5b3cce48d00697bbfc8406dcf938&o=,暂无介绍
西安钟楼智选假日酒店,"碑林区, 西安",8.5,319条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/230414192.jpg?k=6d839ab673b1d203ceae35c94c03ef5750a879c7f76318c15998444e639ce417&o=,西安钟楼智选假日酒店位于西安，距离钟楼有不到4分钟步行路程，提供礼宾服务、禁烟客房、免费自行车、免费WiFi以及餐厅。这家酒店位置优越，坐落于碑林区，距离鼓楼有6分钟步行路程，距离西安城墙有3.5公里。住宿为客人配备客房服务、24小时前台和旅游行程安排服务。 这家住宿每天提供欧陆式、亚洲风味或素食早餐。 这家酒店提供洗衣服务，还配备传真和复印等商务设施。...
西安美丽豪酒店（钟鼓楼店）,"莲湖区, 西安",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/231149486.jpg?k=02c6ea589c2576e12acf5c359c5bc6c1f131f6e9fa780b213cc84769b4e87336&o=,西安美丽豪酒店（原西安美华金唐国际酒店）位于西大街商业区，距离钟楼有2分钟步行路程，设有带免费有线网络连接的宽敞客房，提供免费停车场。 西安美丽豪酒店（原西安美华金唐国际酒店）距离西安火车站有15分钟车程，距离咸阳国际机场有45分钟车程。 空调客房配有一台有线电视、迷你吧和沏茶/咖啡设施。所有客房都配备了一把大型扶手椅或沙发，还提供免费洗浴用品、浴袍和拖鞋。...
西安背包十年青年公园青年旅舍,"新城区, 西安",9.8,55条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/257161245.jpg?k=c36ad0174ecf3afc4a89051e36396e288298c87bd29a68d5f417df137bbf3ba2&o=,西安背包十年青年公园青年旅舍位于西安中心，提供共用休息室、餐厅和酒吧，距离鼓楼和钟楼不远。住宿提供免费WiFi。 这家住宿加早餐旅馆的客人可以享用单点早餐。 住宿配备内部小吃吧。客人还可以使用商务区。 西安背包十年青年公园青年旅舍距离西安城墙有3.7公里，距离大明宫有7.2公里。最近的机场是西安咸阳国际机场，距离这家住宿有42公里。住宿提供付费机场接驳服务。
西安東舍酒店,"碑林区, 西安",9.1,226条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/278339600.jpg?k=b5c3f2f1835a37da7008ea4711a2e83915fa7f695e76b5ccd386fee0b8571a6d&o=,暂无介绍
西安索菲特人民大厦,"新城区, 西安",8.7,122条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/299155823.jpg?k=193f572c933104f0cd205b1b113d830117949abc4b0b058858343599330537d8&o=,西安索菲特人民大厦距离钟楼、鼓楼及回民街有10分钟步行路程，设有室内温水游泳池、豪华spa、4间餐厅、3间酒吧以及覆盖各处的WiFi。 酒店距离西安火车站有5分钟车程，距离西安咸阳国际机场有40分钟车程。 典雅的客房提供有线电视和沏茶/咖啡设施。浴室内配有独立的花洒淋浴和浴缸。部分客房享有城市景。 客人可以在健身房锻炼身体，也可以享受按摩和桑拿服务。其他设施包括商务中心以及免费停车场。...
延安双拥大道亚朵酒店,延安,9.0,1条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/109362662.jpg?k=2b618d3c461c2efc61ef1081eddb9326ef9fc7801c54457325ef6ba447ede2d5&o=,延安双拥大道亚朵酒店位于延安，提供住宿。这家酒店配备免费WiFi和免费私人停车位。 这家酒店的客房提供空调和电视。 24小时前台工作人员会讲英语和中文，可随时为客人提供帮助。
西安威斯汀大酒店,"雁塔区, 西安",8.3,35条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500349023.jpg?k=dc8b6be5d0a1c1062c78922755a3bd4b23864c2ce8b31bf91cf352d67965fd26&o=,暂无介绍
